מתכת,קראט,צבע,מחיר לגרם,הערות
זהב,9K,צהוב,,
זהב,14K,צהוב,,
זהב,14K,לבן,,
זהב,14K,ורוד,,
זהב,18K,צהוב,,
זהב,18K,לבן,,
זהב,18K,ורוד,,
פלטינה,950,לבן,,
כסף,925,לבן,,
